"","size_fraction","sample_id","object_annotation_category","dryweight_C_mg_sum_taxa","dryweight_C_ug_sum_taxa","dryweight_C_mg_sum_sample","dryweight_C_ug_sum_sample","sample_conc","sample_tot_vol","acq_sub_part","potemp2","density2","oxy_sat","Sal2","NO2","nitracline_depth","NO3","fluorescence","hypoxia_depth","chl_max_depth","PO4","SIL","NH4","beam_depth","chl_max","mixedlayerdepths","intergrated_chl","day_night_0_1","distance_from_shore","PAR_1_depth_adj","cycle","Sample_ID_short","PC1","Longitude","Latitude","log10_dryweight_C_ug_m2_taxa","dryweight_C_mg_m2_taxa","log10_dryweight_C_ug_m2_sample","dryweight_C_mg_m2_sample","biomass_prop_taxa","biomass_taxa_clr"
"1","0.2-1","c1_t7_h9","Calanoida",0.487925114569028,487.925114569028,1.32029619897402,1320.29619897402,72.145390070922,282,100,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,6.19016194032592,35.2015477159818,7.18561138357018,95.2532842841366,0.369557312175998,5.9220933808013
"2","0.2-1","c1_t8_h10","Calanoida",0.803963429782734,803.963429782734,1.17164289379886,1171.64289379886,228.497902097902,286,320,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,6.68955378279962,183.703957068789,7.06616222558321,267.717943240955,0.686184701872781,6.77917403082236
"3","0.2-1","c2_t8_h18","Calanoida",1.42112185340754,1421.12185340754,7.23078092321983,7230.78092321983,78.859800397848,303,118.801369863014,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,7.25920187629081,112.069385700738,8.88610232083034,570.217940325683,0.196537810853038,7.00892232116971
"4","0.2-1","c2_t9_h19","Calanoida",0.833524917028822,833.524917028822,23.3809394960342,23380.9394960342,344.84126984127,252,400,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,"2","C2-T9-H19",2.811058313,-123.226,36.46062,6.72566359619971,287.433790832558,10.059676417967,8062.71286589434,0.0356497615149383,6.51619632824094
"5","0.2-1","c3_t6_h25","Calanoida",0.776676831916442,776.676831916442,14.5830480119697,14583.0480119697,60.6105502532474,290.23,100,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,6.65502434611042,47.0748101514045,9.58761503803275,883.886564375008,0.0532588819071945,6.82775527825947
"6","0.2-1","c3_t7_h26","Calanoida",0.873371591015894,873.371591015894,15.547917710817,15547.917710817,76.8879371877231,280.2,100,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,6.7723611136343,67.1517400315718,9.65168199936852,1195.44732034919,0.0561728976998812,7.17483525320448
"7","0.2-1","ct1_t1_h28","Calanoida",2.64188447727547,2641.88447727547,10.2792043739746,10279.2043739746,1.56001323688501,279,77.9928617780662,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,7.87924775864387,4.12137475487078,9.23787814048621,16.0356948880467,0.257012545053031,6.16251302918647
"8","0.2-1","ct1_t2_h29","Calanoida",1.07315626374132,1073.15626374132,7.33523761293628,7335.23761293627,2.46766726142579,278,123.371024734982,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,6.97835936459145,2.64819257842848,8.90044508445407,18.1009257122219,0.146301499742657,5.86252592921763
"9","0.2-1","ct1_t3_h30","Calanoida",0.57417289474265,574.17289474265,1.2882417765664,1288.2417765664,57.3291769680032,279.09,80,18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.52148287,24.685,1,450.7865706,86,"T1","CT1-T3-H30",-3.727302931,-126.6352,35.02288,6.35293056131788,32.916859492932,7.16103360377356,73.85384078635,0.445702743993456,6.23583193672646
"10","0.2-1","ct1_t4_h31","Calanoida",1.15726169395486,1157.26169395486,4.77447611313122,4774.47611313122,34.952063859701,327.6294556,63.2809773123909,18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434391,39.938,0,353.6559397,84,"T1","CT1-T4-H31",-3.259153374,-125.5235,35.09508,7.0538118848116,40.448684629496,8.47103953236826,166.877794002779,0.242385063100861,6.69661174786926
"11","0.2-1","ct1_t5_h32","Calanoida",0.739529386431497,739.529386431497,2.06728654090728,2067.28654090728,64.2348364715355,265.11623,80,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,"T1","CT1-T5-H32",-2.057413352,-124.7213,35.11383,6.60601401960539,47.5035492033222,7.633992176541,132.791812894985,0.357729502803678,7.14365231687702
"12","0.2-1","ct1_t6_h33","Calanoida",1.7330688425418,1733.0688425418,8.22321594426967,8223.21594426967,61.6880183142795,296.719,87.9911504424779,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,"T1","CT1-T6-H33",-2.808803596,-123.8861,35.15777,7.45764901341697,106.909582498626,9.01471664563419,507.273895772382,0.210753171786701,7.70500060989319
"13","0.2-1","ct1_t7_h34","Calanoida",2.31961564180415,2319.61564180415,17.2597998248772,17259.7998248772,134.416992804408,330.5425622,228.375930119702,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,"T1","CT1-T7-H34",1.021747674,-123.1012,35.20463,7.74915677929915,311.795759033381,9.75613536693848,2320.01038886604,0.13439412190985,7.73926275577153
"14","0.2-1","ct1_t8_h35","Calanoida",0.435783638791787,435.783638791787,2.59067966985807,2590.67966985807,58.3376467772125,264.0747622,80,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,"T1","CT1-T8-H35",1.240985634,-122.3004,35.1785,6.07714587887733,25.4225919911236,7.85967554106189,151.134155493086,0.168212088843721,5.30405690268096
"15","0.2-1","ct2_t1_h36","Calanoida",0.378362506493031,378.362506493031,0.642115509877091,642.115509877091,529.283205165489,273.2546282,640,15.831225,24.523775,70.634,33.3592625,0.188328994,24.13100104,6.475130769,2.00485,144.391,19.85366667,0.649509372,5.675964988,0.23236203,17.868,2.443066667,23.89114571,68.88,1,395.8283457,60,"T2","CT2-T1-H36",2.177361041,-121.6069,35.56327,5.9358527479478,200.26092015108,6.46476820943289,339.860955154219,0.589243680728806,7.29574758321404
"16","0.2-1","ct2_t4_h39","Calanoida",0.783884663115712,783.884663115712,1.68603523315275,1686.03523315275,224.889377920599,307.8703307,400.375234521576,16.11135,24.6348375,81.589375,33.58603125,0.180388032,26.97258367,6.151914118,1.3498,244.565,19.854,0.633395467,5.435990441,0.222955797,13.898,2.579066667,32.90561905,46.21,1,41.86359276,45,"T2","CT2-T4-H39",1.910761547,-121.2592,35.13105,6.66426189615536,176.287334249591,7.43013503582432,379.171414735934,0.464927806787235,6.97072542724566
"17","0.2-1","ct2_t8_h43","Calanoida",2.09499902980973,2094.99902980973,21.8534326384807,21853.4326384807,270.049424406116,270.37903068,375.305832147937,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,"T2","CT2-T8-H43",2.955154777,-120.8298,34.54325,7.64730836925815,565.75328213149,9.9921132883441,5901.50690531955,0.0958659019142257,7.46491720433432
"18","1-5","c1_t7_h9","Calanoida",0.242221631321752,242.221631321752,2.74683320929439,2746.83320929439,28.8581560283688,282,40,13.6354125,25.27231875,68.65825,33.72105625,0.271166667,4.793,17.5485,4.377575,127.52,14.88966667,1.386,16.9485,0.108,10.919,4.7989,34.31751471,43.229,1,54.45089622,30,"1","C1-T7-H9",6.573255037,-122.4661,36.18643,5.48985313894658,6.99006963012914,7.91820396684905,79.2685413377224,0.0881821402559693,4.8722178187648
"19","1-5","c1_t8_h10","Calanoida",1.28942614087652,1289.42614087652,5.37400968064875,5374.00968064875,114.248951048951,286,160,14.52624375,25.12710625,73.9570625,33.7726125,0.293333333,5.056,6.879666667,3.06598125,117.599,33.74833333,0.619,4.617666667,0.519666667,8.4375,3.9444,39.60784898,93.982,0,57.2760461,30,"1","C1-T8-H10",4.157659552,-122.4958,36.11382,7.16195254634599,147.315584050239,8.58932959055989,613.974968941028,0.239937442896616,6.3290965652197
"20","1-5","c2_t8_h18","Calanoida",1.27684421873776,1276.84421873776,16.5649971935489,16564.9971935489,39.0082223037118,303,58.7654320987654,15.59365,24.5697,64.668,33.34975,0.221166667,4.771,6.914333333,1.7352,127.517,14.88933333,0.475166667,5.279,0.129666667,14.889,8.5157,12.36120755,10.001,0,89.04467932,6,"2","C2-T8-H18",3.495869841,-123.0914,36.42905,7.1521468585659,49.8074231317318,9.71504714531345,646.171092986317,0.0770808593456942,5.52392011038525
"21","1-5","c2_t9_h19","Calanoida",0.847457431524723,847.457431524723,358.584509310671,358584.509310671,17.2420634920635,252,20,15.85675,24.06715,69.2275,32.7728,0.3052,4.576,7.3326,1.59615,129.5,30.76966667,0.668,5.1062,0.433,26.8,4.107233333,18.6269982,11.23,1,107.295263,6,"2","C2-T9-H19",2.811058313,-123.226,36.46062,6.74224060970371,14.6119148411703,12.7899196415366,6182.73687680502,0.00236334088484146,4.98065603940712
"22","1-5","c3_t6_h25","Calanoida",0.793863870672716,793.863870672716,58.1076850289173,58107.6850289173,6.06105502532474,290.23,10,18.84853125,23.309125,79.10425,32.70948125,0.0165,114.277,-0.069,-0.00258125,349.6695,109.1806667,0.336,1.0475,-0.013,22.833,0.642766667,36.93443854,8.3977,0,772.3392208,103,"3","C3-T6-H25",-4.6044581,-130.477,34.56042,6.67691199903286,4.81165260276461,10.9700532065354,352.193876354506,0.0136619428269712,3.89101813328888
"23","1-5","c3_t7_h26","Calanoida",0.657654918600289,657.654918600289,43.6374860756981,43637.4860756982,7.68879371877231,280.2,10,18.9034875,23.2842875,72.4185,32.6949375,0.0215,109.923,-0.061,0.03025,361.5635,105.2116667,0.3,1.2055,-0.0135,22.834,0.657333333,34.44530282,0.053271,1,772.3906546,103,"3","C3-T7-H26",-4.437854817,-130.4595,34.52752,6.48868035394147,5.05657300725361,10.683671832323,335.519628841842,0.0150708708897541,3.49420156431887
"24","1-5","ct1_t1_h28","Calanoida",1.85968696973535,1859.68696973535,25.5935942331429,25593.5942331429,0.676990776000677,279,33.8461538461538,17.38964375,23.8663625,65.336625,32.97244375,0.013,59.8,0.207,0.26435,361.5505,43.67766667,0.370333333,1.022333333,0.021666667,39.707,2.921366667,44.12433944,112.6,0,602.6631245,5,"T1","CT1-T1-H28",-2.054216937,-128.5755,34.96055,7.52816345670271,1.25899092475948,10.1500973738882,17.3266272205418,0.07266220417479,5.06672663778597
"25","1-5","ct1_t2_h29","Calanoida",1.1544577464445,1154.4577464445,49.6715492406284,49671.5492406284,0.593106345399366,278,29.6523517382413,18.16554375,23.51706875,68.402375,32.7602,0.0065,80.1,-0.06,0.0202625,312.9815,70.47466667,0.3345,1.135,0.0035,58.565,0.948566667,49.90714574,0.1229,1,524.1840843,11,"T1","CT1-T2-H29",-3.394650309,-127.5728,35.0498,7.05138602911612,0.684716214911683,10.813187598286,29.4605110404338,0.0232418308688511,5.81281006253923
"26","1-5","ct1_t3_h30","Calanoida",0.236977541146185,236.977541146185,1.61531835242384,1615.31835242384,28.6645884840016,279.09,40,18.16806875,23.51549375,70.3971875,32.75895,0.0085,94.339,-0.073,0.00883125,258.4555,78.41433333,0.3345,1.0805,0.007,73.452,1.302366667,47.52148287,24.685,1,450.7865706,86,"T1","CT1-T3-H30",-3.727302931,-126.6352,35.02288,5.46796537354856,6.79286369690593,7.38728733847458,46.3024358428848,0.146706400500305,3.58175067612207
"27","1-5","ct1_t4_h31","Calanoida",0.572131359965715,572.131359965715,12.5320975619083,12532.0975619083,31.5345339950728,327.6294556,57.0935135135135,18.11386875,23.52309375,78.3553125,32.751575,0.01,81.135,-0.0975,0.04135,276.3005,58.56533333,0.331,0.9545,-0.0155,50.625,1.3489,43.3434391,39.938,0,353.6559397,84,"T1","CT1-T4-H31",-3.259153374,-125.5235,35.09508,6.34936861530392,18.0418958204861,9.43604843706479,395.193856595568,0.045653280078566,5.6770835230638
"28","1-5","ct1_t5_h32","Calanoida",0.570926443595214,570.926443595214,15.9477304594788,15947.7304594788,64.2348364715355,265.11623,80,17.41111875,23.60625,81.763,32.63924375,0.032,60.184,0.115333333,0.1357875,295.1365,44.66966667,0.364,1.203666667,0.021333333,40.7,2.300733333,40.373965,105.72,0,287.1546375,5,"T1","CT1-T5-H32",-2.057413352,-124.7213,35.11383,6.34726038103434,36.6733667416139,9.67707180714691,1024.39985815675,0.0357998553490647,5.03377433886377
"29","1-5","ct1_t6_h33","Calanoida",0.738206951096594,738.206951096594,74.0117967931045,74011.7967931045,30.960130824137,296.719,44.1612099644128,17.67494737,23.63878421,73.37931422,32.76398421,0.004,89.237,-0.021333333,0.0678,286.213,55.58733333,0.339,1.184,0.008,47.647,1.4834,43.86420492,44.366,1,220.3050539,78,"T1","CT1-T6-H33",-2.808803596,-123.8861,35.15777,6.6042242068298,22.8549837812379,11.2119797756039,2291.41491124396,0.00997417956437683,6.0760274687308
"30","1-5","ct1_t7_h34","Calanoida",2.37679737845698,2376.79737845698,23.6730489490958,23673.0489490958,39.0338991287545,330.5425622,66.319018404908,16.22978889,24.64262778,71.93337769,33.63152222,0.18025,5.198,4.7105,0.991344444,272.3325,44.66933333,0.55525,2.63575,0.1955,8.935,1.644233333,49.89389011,61.179,1,164.3233095,55,"T1","CT1-T7-H34",1.021747674,-123.1012,35.20463,7.77350922117614,92.7756691201776,10.0720925049053,924.051404749071,0.100400982719539,6.44996996119532
"31","1-5","ct1_t8_h35","Calanoida",0.512615689891971,512.615689891971,11.4767855956323,11476.7855956323,116.675293554425,264.0747622,160,16.601525,24.4496125,62.516375,33.49135,0.13575,34.766,1.831,1.00973125,211.846,24.81766667,0.41225,2.2655,0.52375,19.854,1.631833333,30.76237143,8.3863,0,119.4843272,10,"T1","CT1-T8-H35",1.240985634,-122.3004,35.1785,6.23952642191252,59.8095860987498,9.34808163028567,1339.0573284316,0.0446654410000528,6.67530907847064
"32","1-5","ct2_t1_h36","Calanoida",0.38202015544484,382.02015544484,1.32377018092253,1323.77018092253,66.1604006456861,273.2546282,80,15.831225,24.523775,70.634,33.3592625,0.188328994,24.13100104,6.475130769,2.00485,144.391,19.85366667,0.649509372,5.675964988,0.23236203,17.868,2.443066667,23.89114571,68.88,1,395.8283457,60,"T2","CT2-T1-H36",2.177361041,-121.6069,35.56327,5.94547337015927,25.2746065389579,7.18823914206667,87.5811655326473,0.288584953000384,4.88515563225861
"33","1-5","ct2_t4_h39","Calanoida",0.968960348041846,968.960348041846,9.33923911808292,9339.23911808291,31.7941429236475,307.8703307,56.6037735849057,16.11135,24.6348375,81.589375,33.58603125,0.180388032,26.97258367,6.151914118,1.3498,244.565,19.854,0.633395467,5.435990441,0.222955797,13.898,2.579066667,32.90561905,46.21,1,41.86359276,45,"T2","CT2-T4-H39",1.910761547,-121.2592,35.13105,6.87622369056005,30.8072637929897,9.1419800630311,296.933103318448,0.103751530054061,6.0260531738279
"34","1-5","ct2_t8_h43","Calanoida",2.61766024355836,2617.66024355836,152.194162366477,152194.162366477,69.7701642290799,270.37903068,96.9642857142857,15.68699375,25.07190625,77.0835625,34.03350625,0.211496484,5.491,7.418104457,1.07124375,161.261,14.891,0.696521147,6.376082642,0.259804398,9.927,1.530533333,40.83314211,43.725,1,52.40822911,47,"T2","CT2-T8-H43",2.955154777,-120.8298,34.54325,7.87003616095042,182.634585089,11.9329123686576,10618.6117030163,0.017199478632138,4.6749254906991
"35",">2","c1_t7_h9","Calanoida",0.164340216573376,164.340216573376,14.3766358769631,14376.6358769631,43.2872340425532,282,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.10193877033944,7.1138334174156,9.57335965932737,622.324801950668,0.0114310620356402,1.62175787436062
"36",">2","c1_t8_h10","Calanoida",0.457600497234428,457.600497234428,20.7280237509645,20728.0237509645,123.769696969697,286,173.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.12599652667869,56.6370748758878,9.93924186808095,2565.50121843756,0.0220764170637895,1.90237182108681
"37",">2","c2_t8_h18","Calanoida",0.626572981510983,626.572981510983,154.115291914199,154115.291914199,40.9991263832266,303,61.7647058823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.44026525839115,25.6889448572839,11.9454562500915,6318.59233077811,0.00406561200857222,2.3372716838669
"38",">2","c2_t9_h19","Calanoida",0.208795240747166,208.795240747166,135.775982691542,135775.982691542,17.2420634920635,252,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.34135406239223,3.60006079780333,11.818761620524,2341.05811426488,0.00153779215298711,2.45699215240308
"39",">2","c3_t6_h25","Calanoida",1.00786703449776,1007.86703449776,80.9213709548362,80921.3709548362,11.905643799745,290.23,19.6428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.91559152970992,11.9993059102357,11.3012332332395,963.421018375313,0.0124548932204853,5.11538154667175
"40",">2","c3_t7_h26","Calanoida",0.529189585025256,529.189585025256,7.38728954700555,7387.28954700555,7.68879371877231,280.2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.27134675144482,4.06882955738191,8.90751617359359,56.7993454677686,0.0716351486777399,5.8698512784381
"41",">2","ct1_t1_h28","Calanoida",0.540726470689539,540.726470689539,114.635371819046,114635.371819046,0.882310453267549,279,44.1111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.29291355152317,0.477088617447849,11.6495116902552,101.143986870156,0.0047169251698602,2.65665860248933
"42",">2","ct1_t2_h29","Calanoida",0.509656472735325,509.656472735325,36.4873336230552,36487.3336230552,0.6118258884712,278,30.5882352941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.23373691588759,0.311821024246388,10.5047204553179,22.3238953118709,0.0139680382787217,2.77181870934865
"43",">2","ct1_t5_h32","Calanoida",0.214520807275547,214.520807275547,4.08174200508448,4081.74200508448,64.2348364715355,265.11623,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36840673727913,13.7797089750866,8.31427913830637,262.190030215599,0.0525561897367168,1.4255769359865
"44",">2","ct1_t6_h33","Calanoida",0.0431189044857489,43.1189044857489,16.8188370527863,16818.8370527864,55.0691042703703,296.719,78.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.76396152010335,2.37451944714985,9.73025479039858,926.198291366259,0.00256372687067597,3.26935979014139
"45",">2","ct1_t7_h34","Calanoida",0.166618383839303,166.618383839303,94.8093286777296,94809.3286777296,28.251732357389,330.5425622,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11570607081963,4.70725798604868,11.4596230871753,2678.52777878694,0.00175740495332123,1.50509831427237
"46",">2","ct1_t8_h35","Calanoida",0.0749305927951105,74.9305927951105,91.1204208101217,91120.4208101217,116.675293554425,264.0747622,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.31656225566363,8.74254891057661,11.4199372163075,10631.5018468237,0.000822324920461597,0.975341713426464
"47",">2","ct2_t1_h36","Calanoida",0.146860516985483,146.860516985483,9.61176703972695,9611.76703972695,66.1604006456861,273.2546282,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98948327227794,9.71635064279214,9.17074336016304,635.918358261335,0.0152792422432301,1.05639135805131
"48",">2","ct2_t4_h39","Calanoida",0.0905444774627303,90.5444774627303,9.73371701297923,9733.71701297923,37.4464349989626,307.8703307,66.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.50584119365374,3.39056788982316,9.18335111795305,364.493001424823,0.00930214812511968,1.65243817795729
"49",">2","ct2_t8_h43","Calanoida",0.235364395037718,235.364395037718,56.9560786818872,56956.0786818872,109.730608198221,270.37903068,152.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46113493036045,25.8266782156952,10.9500357003503,6249.82515434924,0.00413238411921371,1.19212357102982
