"","Comparison","Transformation","Taxa_Grouping","Size_Grouping","Environment_Grouping","R2","P_Value","n_samples","Has_Higher_R2"
"1","PCR vs. Raw","none","Calanoida","0.2-1","offshore",0.0103229849199662,0.506619932693903,45,""
"2","PCR vs. Raw","none","Calanoida","0.2-1","onshore",0.000223025170279957,0.91975353176951,48,""
"3","PCR vs. Raw","none","Calanoida","0.2-1","All",0.00154943498897635,0.707948348291406,93,""
"4","PCR vs. Raw","none","Calanoida","1-2","offshore",0.00997644486558061,0.55641118258922,37,""
"5","PCR vs. Raw","none","Calanoida","1-2","onshore",0.0151334698822845,0.404845112888963,48,""
"6","PCR vs. Raw","none","Calanoida","1-2","All",0.0133046255331359,0.293165620567039,85,""
"7","PCR vs. Raw","none","Calanoida","All","offshore",0.00940695040280881,0.38602991132618,82,""
"8","PCR vs. Raw","none","Calanoida","All","onshore",0.0035283121002575,0.565373177469347,96,""
"9","PCR vs. Raw","none","Calanoida","All","All",0.0056315770477816,0.319463767164428,178,""
"10","PCR vs. Raw","none","Eucalanidae","0.2-1","offshore",0.760122290507776,0.0539986290439427,5,""
"11","PCR vs. Raw","none","Eucalanidae","0.2-1","onshore",0.496041197154118,0.18422036965316,5,""
"12","PCR vs. Raw","none","Eucalanidae","0.2-1","All",0.366355561259822,0.063708856550172,10,""
"13","PCR vs. Raw","none","Eucalanidae","1-2","offshore",0.275448696321289,0.226476005051039,7,""
"14","PCR vs. Raw","none","Eucalanidae","1-2","onshore",0.152600212745641,0.298572163973446,9,""
"15","PCR vs. Raw","none","Eucalanidae","1-2","All",0.0830009702526791,0.279222245225721,16,""
"16","PCR vs. Raw","none","Eucalanidae","All","offshore",0.109934868907515,0.292416714783456,12,""
"17","PCR vs. Raw","none","Eucalanidae","All","onshore",0.097972621077256,0.275869390972214,14,""
"18","PCR vs. Raw","none","Eucalanidae","All","All",0.0725171175246753,0.183414505390652,26,""
"19","PCR vs. Raw","none","Euphausiacea","0.2-1","offshore",0.846205598880542,0.00936835920439007,6,""
"20","PCR vs. Raw","none","Euphausiacea","0.2-1","onshore",0.190462565168113,0.327601801275955,7,""
"21","PCR vs. Raw","none","Euphausiacea","0.2-1","All",0.222798598068209,0.103406501815799,13,""
"22","PCR vs. Raw","none","Euphausiacea","1-2","All",0.00110566112008514,0.950141157972363,6,""
"23","PCR vs. Raw","none","Euphausiacea","All","offshore",0.000282266826812838,0.968504430386696,8,""
"24","PCR vs. Raw","none","Euphausiacea","All","onshore",0.0644273363530431,0.451363538564128,11,""
"25","PCR vs. Raw","none","Euphausiacea","All","All",0.0315476366254375,0.466939678797221,19,""
"26","PCR vs. Raw","none","Oithonidae","0.2-1","offshore",0.0488416236230936,0.598917239290565,8,""
"27","PCR vs. Raw","none","Oithonidae","0.2-1","onshore",0.000782562462899272,0.958049468950656,6,""
"28","PCR vs. Raw","none","Oithonidae","0.2-1","All",0.0113615156392159,0.716846357113413,14,""
"29","PCR vs. Raw","none","Oithonidae","All","offshore",0.00884631426598624,0.809799934610483,9,""
"30","PCR vs. Raw","none","Oithonidae","All","onshore",0.0198051242121277,0.739593261049575,8,""
"31","PCR vs. Raw","none","Oithonidae","All","All",0.0315789970600874,0.495018366993403,17,""
"32","PCR vs. Raw","none","All","0.2-1","offshore",0.128686497432171,7.56792896566189e-06,148,""
"33","PCR vs. Raw","none","All","0.2-1","onshore",0.000703394642487128,0.760985553608971,134,""
"34","PCR vs. Raw","none","All","0.2-1","All",0.016249543354654,0.0323647527927919,282,""
"35","PCR vs. Raw","none","All","1-2","offshore",0.110913974943928,0.000138715254390942,126,""
"36","PCR vs. Raw","none","All","1-2","onshore",0.00151676709628788,0.638386524110492,148,""
"37","PCR vs. Raw","none","All","1-2","All",0.0151817075852964,0.0415495657499959,274,""
"38","PCR vs. Raw","none","All","All","offshore",0.112353076058997,1.28205200757709e-08,274,""
"39","PCR vs. Raw","none","All","All","onshore",0.000133456635849212,0.846848070306034,282,""
"40","PCR vs. Raw","none","All","All","All",0.0187139494150674,0.00122229366710119,556,""
"41","PCR vs. Raw","log10","Calanoida","0.2-1","offshore",0.0088571565089959,0.538602744601682,45,""
"42","PCR vs. Raw","log10","Calanoida","0.2-1","onshore",0.00107682170658323,0.824768977303577,48,""
"43","PCR vs. Raw","log10","Calanoida","0.2-1","All",0.00266227885324534,0.623296470993011,93,""
"44","PCR vs. Raw","log10","Calanoida","1-2","offshore",0.0130982174311868,0.500003470899689,37,""
"45","PCR vs. Raw","log10","Calanoida","1-2","onshore",0.0120287940259875,0.458044941629625,48,""
"46","PCR vs. Raw","log10","Calanoida","1-2","All",0.0132173648978969,0.294764683504749,85,""
"47","PCR vs. Raw","log10","Calanoida","All","offshore",0.0105389449008103,0.358735880987048,82,""
"48","PCR vs. Raw","log10","Calanoida","All","onshore",0.00432590857969076,0.524335864339269,96,""
"49","PCR vs. Raw","log10","Calanoida","All","All",0.00685105716318359,0.272025398590765,178,""
"50","PCR vs. Raw","log10","Eucalanidae","0.2-1","offshore",0.739925706125614,0.0614214608409129,5,""
"51","PCR vs. Raw","log10","Eucalanidae","0.2-1","onshore",0.478420158757508,0.19572914152243,5,""
"52","PCR vs. Raw","log10","Eucalanidae","0.2-1","All",0.316857047405843,0.0902362415282435,10,""
"53","PCR vs. Raw","log10","Eucalanidae","1-2","offshore",0.255029862625307,0.247679078183138,7,""
"54","PCR vs. Raw","log10","Eucalanidae","1-2","onshore",0.132046101440826,0.336420742914963,9,""
"55","PCR vs. Raw","log10","Eucalanidae","1-2","All",0.0720998254300451,0.314629022945179,16,""
"56","PCR vs. Raw","log10","Eucalanidae","All","offshore",0.102237229568711,0.310991110852874,12,""
"57","PCR vs. Raw","log10","Eucalanidae","All","onshore",0.0961822167839276,0.280537244222403,14,""
"58","PCR vs. Raw","log10","Eucalanidae","All","All",0.06546047641994,0.207107322251529,26,""
"59","PCR vs. Raw","log10","Euphausiacea","0.2-1","offshore",0.86178097984171,0.00752255662033465,6,""
"60","PCR vs. Raw","log10","Euphausiacea","0.2-1","onshore",0.177753192903362,0.3461351148951,7,""
"61","PCR vs. Raw","log10","Euphausiacea","0.2-1","All",0.232841820604527,0.0949013762777486,13,""
"62","PCR vs. Raw","log10","Euphausiacea","1-2","All",0.0112309781028676,0.841630645065973,6,""
"63","PCR vs. Raw","log10","Euphausiacea","All","offshore",0.00147271298116433,0.928115722086915,8,""
"64","PCR vs. Raw","log10","Euphausiacea","All","onshore",0.0581370922835325,0.47508048738527,11,""
"65","PCR vs. Raw","log10","Euphausiacea","All","All",0.0241190347823293,0.525517633047766,19,""
"66","PCR vs. Raw","log10","Oithonidae","0.2-1","offshore",0.0588309230676413,0.562739180919163,8,""
"67","PCR vs. Raw","log10","Oithonidae","0.2-1","onshore",0.00172285321458533,0.937774854950176,6,""
"68","PCR vs. Raw","log10","Oithonidae","0.2-1","All",0.00806084479185245,0.760190578296796,14,""
"69","PCR vs. Raw","log10","Oithonidae","All","offshore",0.0136825209065796,0.764406320879344,9,""
"70","PCR vs. Raw","log10","Oithonidae","All","onshore",0.0151370348048979,0.771631132841667,8,""
"71","PCR vs. Raw","log10","Oithonidae","All","All",0.0260804151397593,0.535767355665964,17,""
"72","PCR vs. Raw","log10","All","0.2-1","offshore",0.154685863815037,7.61783114986997e-07,148,""
"73","PCR vs. Raw","log10","All","0.2-1","onshore",0.000538470160936788,0.790134396957249,134,""
"74","PCR vs. Raw","log10","All","0.2-1","All",0.0191964509974434,0.0199347497398072,282,""
"75","PCR vs. Raw","log10","All","1-2","offshore",0.0876034167281705,0.000765533947725346,126,""
"76","PCR vs. Raw","log10","All","1-2","onshore",0.0021810909442178,0.572994723725719,148,""
"77","PCR vs. Raw","log10","All","1-2","All",0.0112653537060382,0.0794599975607554,274,""
"78","PCR vs. Raw","log10","All","All","offshore",0.108251113113695,2.44246385052372e-08,274,""
"79","PCR vs. Raw","log10","All","All","onshore",7.17953391748707e-06,0.964269837537375,282,""
"80","PCR vs. Raw","log10","All","All","All",0.0175024604581415,0.00177053791469479,556,""
"81","PCR vs. Raw","arcsinsqrt","Calanoida","0.2-1","offshore",0.00867113587747541,0.542917560375157,45,""
"82","PCR vs. Raw","arcsinsqrt","Calanoida","0.2-1","onshore",0.00177850313031214,0.775948189839947,48,""
"83","PCR vs. Raw","arcsinsqrt","Calanoida","0.2-1","All",0.00276392492452118,0.61673331453494,93,""
"84","PCR vs. Raw","arcsinsqrt","Calanoida","1-2","offshore",0.031124732748416,0.296244125331705,37,""
"85","PCR vs. Raw","arcsinsqrt","Calanoida","1-2","onshore",0.0125911316316177,0.447657853228853,48,""
"86","PCR vs. Raw","arcsinsqrt","Calanoida","1-2","All",0.0210402425081086,0.185325503532766,85,""
"87","PCR vs. Raw","arcsinsqrt","Calanoida","All","offshore",0.0194361639617933,0.211601461277181,82,""
"88","PCR vs. Raw","arcsinsqrt","Calanoida","All","onshore",0.00515635701794579,0.48689768637986,96,""
"89","PCR vs. Raw","arcsinsqrt","Calanoida","All","All",0.00956382029498247,0.19405784774058,178,""
"90","PCR vs. Raw","arcsinsqrt","Eucalanidae","0.2-1","offshore",0.614705402830688,0.116499615981613,5,""
"91","PCR vs. Raw","arcsinsqrt","Eucalanidae","0.2-1","onshore",0.67324899338469,0.0887799318168065,5,""
"92","PCR vs. Raw","arcsinsqrt","Eucalanidae","0.2-1","All",0.478966062686468,0.0265822069190763,10,""
"93","PCR vs. Raw","arcsinsqrt","Eucalanidae","1-2","offshore",0.382511783882936,0.13873752088931,7,""
"94","PCR vs. Raw","arcsinsqrt","Eucalanidae","1-2","onshore",0.142710148088688,0.316160243716597,9,""
"95","PCR vs. Raw","arcsinsqrt","Eucalanidae","1-2","All",0.130446833621783,0.169306278524688,16,""
"96","PCR vs. Raw","arcsinsqrt","Eucalanidae","All","offshore",0.11492405752072,0.281052914275308,12,""
"97","PCR vs. Raw","arcsinsqrt","Eucalanidae","All","onshore",0.149268927045337,0.172403942110299,14,""
"98","PCR vs. Raw","arcsinsqrt","Eucalanidae","All","All",0.131722514845871,0.0684079882310529,26,""
"99","PCR vs. Raw","arcsinsqrt","Euphausiacea","0.2-1","offshore",0.950325959635943,0.000941080574301148,6,""
"100","PCR vs. Raw","arcsinsqrt","Euphausiacea","0.2-1","onshore",0.22771600917966,0.278882505722204,7,""
"101","PCR vs. Raw","arcsinsqrt","Euphausiacea","0.2-1","All",0.19498082476696,0.130895245709318,13,""
"102","PCR vs. Raw","arcsinsqrt","Euphausiacea","1-2","All",0.0338986105034806,0.726947004596337,6,""
"103","PCR vs. Raw","arcsinsqrt","Euphausiacea","All","offshore",0.00335651940365024,0.891613814276558,8,""
"104","PCR vs. Raw","arcsinsqrt","Euphausiacea","All","onshore",0.0870516650530557,0.378423057453931,11,""
"105","PCR vs. Raw","arcsinsqrt","Euphausiacea","All","All",0.0324696983531726,0.460394379478504,19,""
"106","PCR vs. Raw","arcsinsqrt","Oithonidae","0.2-1","offshore",0.0713884236738612,0.522357893290492,8,""
"107","PCR vs. Raw","arcsinsqrt","Oithonidae","0.2-1","onshore",0.00867697763420481,0.86067868760327,6,""
"108","PCR vs. Raw","arcsinsqrt","Oithonidae","0.2-1","All",0.000799334138151856,0.92356732800426,14,""
"109","PCR vs. Raw","arcsinsqrt","Oithonidae","All","offshore",0.00382320432760797,0.874437379691901,9,""
"110","PCR vs. Raw","arcsinsqrt","Oithonidae","All","onshore",0.0201755057635177,0.737234540681716,8,""
"111","PCR vs. Raw","arcsinsqrt","Oithonidae","All","All",0.0260095788801001,0.536329204110719,17,""
"112","PCR vs. Raw","arcsinsqrt","All","0.2-1","offshore",0.150698985110434,1.08705054120079e-06,148,""
"113","PCR vs. Raw","arcsinsqrt","All","0.2-1","onshore",0.00122677187315328,0.687851808850794,134,""
"114","PCR vs. Raw","arcsinsqrt","All","0.2-1","All",0.0171527103977792,0.0278747748714804,282,""
"115","PCR vs. Raw","arcsinsqrt","All","1-2","offshore",0.0443328083771913,0.0179573275649927,126,""
"116","PCR vs. Raw","arcsinsqrt","All","1-2","onshore",0.00323167373046424,0.49253980693831,148,""
"117","PCR vs. Raw","arcsinsqrt","All","1-2","All",0.00289911001503147,0.374628835375613,274,""
"118","PCR vs. Raw","arcsinsqrt","All","All","offshore",0.0752530782296946,4.04977675733223e-06,274,""
"119","PCR vs. Raw","arcsinsqrt","All","All","onshore",0.000425035574882857,0.730314678312295,282,""
"120","PCR vs. Raw","arcsinsqrt","All","All","All",0.0127982062229428,0.00758242836370758,556,""
"121","PCR vs. Zooscan","none","Calanoida","0.2-1","offshore",0.0210490867951019,0.341653504455545,45,""
"122","PCR vs. Zooscan","none","Calanoida","0.2-1","onshore",0.00940758200395403,0.511939484085955,48,""
"123","PCR vs. Zooscan","none","Calanoida","0.2-1","All",0.0030336985996291,0.600016111282671,93,""
"124","PCR vs. Zooscan","none","Calanoida","1-2","offshore",0.000137827084711701,0.945019263059656,37,""
"125","PCR vs. Zooscan","none","Calanoida","1-2","onshore",0.00529715532880659,0.622997544539253,48,""
"126","PCR vs. Zooscan","none","Calanoida","1-2","All",0.000481280460379902,0.842037018347916,85,""
"127","PCR vs. Zooscan","none","Calanoida","All","offshore",0.00136498668809529,0.741751940056157,82,""
"128","PCR vs. Zooscan","none","Calanoida","All","onshore",2.88392720583603e-05,0.958585816362474,96,""
"129","PCR vs. Zooscan","none","Calanoida","All","All",9.29683606150404e-05,0.898357011581622,178,""
"130","PCR vs. Zooscan","none","Eucalanidae","0.2-1","offshore",0.134819803810577,0.543222476254349,5,""
"131","PCR vs. Zooscan","none","Eucalanidae","0.2-1","onshore",0.375208718411038,0.272056899464869,5,""
"132","PCR vs. Zooscan","none","Eucalanidae","0.2-1","All",0.243284394928714,0.147437476394394,10,""
"133","PCR vs. Zooscan","none","Eucalanidae","1-2","offshore",0.1333610262988,0.42053909143586,7,""
"134","PCR vs. Zooscan","none","Eucalanidae","1-2","onshore",0.0276690280831065,0.668851165719274,9,""
"135","PCR vs. Zooscan","none","Eucalanidae","1-2","All",0.00106003055118442,0.904721628821767,16,""
"136","PCR vs. Zooscan","none","Eucalanidae","All","offshore",0.000859715537286168,0.927925731120602,12,""
"137","PCR vs. Zooscan","none","Eucalanidae","All","onshore",0.0174513103400719,0.652578041140988,14,""
"138","PCR vs. Zooscan","none","Eucalanidae","All","All",0.0104232025210403,0.61969888913714,26,""
"139","PCR vs. Zooscan","none","Euphausiacea","0.2-1","offshore",0.063493411180504,0.630031018454086,6,""
"140","PCR vs. Zooscan","none","Euphausiacea","0.2-1","onshore",0.0144043061378944,0.797715469302159,7,""
"141","PCR vs. Zooscan","none","Euphausiacea","0.2-1","All",0.0329853957211878,0.552627188338547,13,""
"142","PCR vs. Zooscan","none","Euphausiacea","1-2","All",0.0191451264585607,0.793775643836689,6,""
"143","PCR vs. Zooscan","none","Euphausiacea","All","offshore",0.0300559101761981,0.681392618633218,8,""
"144","PCR vs. Zooscan","none","Euphausiacea","All","onshore",0.0282197047795887,0.621497277682578,11,""
"145","PCR vs. Zooscan","none","Euphausiacea","All","All",0.0039417565273488,0.798461268377851,19,""
"146","PCR vs. Zooscan","none","Oithonidae","0.2-1","offshore",0.00136600502291287,0.930764010518677,8,""
"147","PCR vs. Zooscan","none","Oithonidae","0.2-1","onshore",0.0579272119629278,0.645949892424753,6,""
"148","PCR vs. Zooscan","none","Oithonidae","0.2-1","All",0.0093587635719961,0.742159115694441,14,""
"149","PCR vs. Zooscan","none","Oithonidae","All","offshore",0.0196504469739185,0.719062643751579,9,""
"150","PCR vs. Zooscan","none","Oithonidae","All","onshore",0.00105486889981032,0.939145164930308,8,""
"151","PCR vs. Zooscan","none","Oithonidae","All","All",0.0299493594899411,0.506543157086692,17,""
"152","PCR vs. Zooscan","none","All","0.2-1","offshore",0.000239796259514699,0.851816380467367,148,""
"153","PCR vs. Zooscan","none","All","0.2-1","onshore",0.00855653961000883,0.287767300531623,134,""
"154","PCR vs. Zooscan","none","All","0.2-1","All",0.00372190598469382,0.307306721490923,282,""
"155","PCR vs. Zooscan","none","All","1-2","offshore",1.43988097742214e-05,0.96636344727095,126,""
"156","PCR vs. Zooscan","none","All","1-2","onshore",3.09771744936238e-05,0.946473239874722,148,""
"157","PCR vs. Zooscan","none","All","1-2","All",3.91109720619751e-05,0.917925012531747,274,""
"158","PCR vs. Zooscan","none","All","All","offshore",0.000137296618652911,0.846898812700674,274,""
"159","PCR vs. Zooscan","none","All","All","onshore",0.0016247907468804,0.500206071440938,282,""
"160","PCR vs. Zooscan","none","All","All","All",0.000621718948067513,0.557398497381211,556,""
"161","PCR vs. Zooscan","log10","Calanoida","0.2-1","offshore",0.0143960605545687,0.432414103174494,45,""
"162","PCR vs. Zooscan","log10","Calanoida","0.2-1","onshore",0.00253686832469304,0.733877111902717,48,""
"163","PCR vs. Zooscan","log10","Calanoida","0.2-1","All",0.00116855517146051,0.744956749412996,93,""
"164","PCR vs. Zooscan","log10","Calanoida","1-2","offshore",0.00045347048917657,0.900444632198544,37,""
"165","PCR vs. Zooscan","log10","Calanoida","1-2","onshore",0.00915563079234944,0.5176720890343,48,""
"166","PCR vs. Zooscan","log10","Calanoida","1-2","All",1.11626653116464e-05,0.97579029305084,85,""
"167","PCR vs. Zooscan","log10","Calanoida","All","offshore",0.00200218715641604,0.689767882656572,82,""
"168","PCR vs. Zooscan","log10","Calanoida","All","onshore",0.000837692026604292,0.77953480997951,96,""
"169","PCR vs. Zooscan","log10","Calanoida","All","All",3.79321161467257e-05,0.934971234996401,178,""
"170","PCR vs. Zooscan","log10","Eucalanidae","0.2-1","offshore",0.135077942962325,0.542806402508831,5,""
"171","PCR vs. Zooscan","log10","Eucalanidae","0.2-1","onshore",0.350127011079387,0.293228230209767,5,""
"172","PCR vs. Zooscan","log10","Eucalanidae","0.2-1","All",0.229692620312661,0.161047871841104,10,""
"173","PCR vs. Zooscan","log10","Eucalanidae","1-2","offshore",0.148207405091093,0.393776977696272,7,""
"174","PCR vs. Zooscan","log10","Eucalanidae","1-2","onshore",0.0356013897730713,0.626839399442167,9,""
"175","PCR vs. Zooscan","log10","Eucalanidae","1-2","All",0.00188339789811559,0.873207939525959,16,""
"176","PCR vs. Zooscan","log10","Eucalanidae","All","offshore",0.00273687888189036,0.871724247092527,12,""
"177","PCR vs. Zooscan","log10","Eucalanidae","All","onshore",0.021395425282988,0.617800410105469,14,""
"178","PCR vs. Zooscan","log10","Eucalanidae","All","All",0.00986781943321306,0.629233020460205,26,""
"179","PCR vs. Zooscan","log10","Euphausiacea","0.2-1","offshore",0.0584095058558787,0.644537342173032,6,""
"180","PCR vs. Zooscan","log10","Euphausiacea","0.2-1","onshore",0.00358169767377134,0.898581943585923,7,""
"181","PCR vs. Zooscan","log10","Euphausiacea","0.2-1","All",0.0253735693320648,0.603202568080129,13,""
"182","PCR vs. Zooscan","log10","Euphausiacea","1-2","All",0.0322022492528233,0.733714566968732,6,""
"183","PCR vs. Zooscan","log10","Euphausiacea","All","offshore",0.0356693745016464,0.654211860147462,8,""
